"Story","Title","Result","Date","Stability","Duration (s)"
"When search by keyword in duckduckgo second","Should see relevant search results22","SUCCESS","2019-11-19T12:35:52.006+05:30[Asia/Calcutta]","0.0","34.06"
"When search by keyword in duckduckgo second","Should see relevant search results","ERROR","2019-11-19T12:36:29.073+05:30[Asia/Calcutta]","0.0","10.87"
"When search by keyword in duckduckgo second","Should see content snippet22","SUCCESS","2019-11-19T12:36:42.496+05:30[Asia/Calcutta]","0.0","9.16"
"When search by keyword in duckduckgo second","Should see content snippet","SUCCESS","2019-11-19T12:36:53.298+05:30[Asia/Calcutta]","0.0","9.67"
"When search by keyword in duckduckgo","Should see relevant search results22","SUCCESS","2019-11-19T13:55:17.623+05:30[Asia/Calcutta]","0.0","39.52"
"When search by keyword in duckduckgo","Should see relevant search results","SUCCESS","2019-11-19T13:56:03.474+05:30[Asia/Calcutta]","0.0","35.79"
"When search by keyword in duckduckgo","Should see content snippet22","SUCCESS","2019-11-19T13:56:44.178+05:30[Asia/Calcutta]","0.0","32.12"
"When search by keyword in duckduckgo","Should see content snippet","SUCCESS","2019-11-19T13:57:20.92+05:30[Asia/Calcutta]","0.0","32.95"
"Flipkart home page","Flipkart home page","SUCCESS","2019-11-19T13:55:17.767+05:30[Asia/Calcutta]","0.0","45.78"
"Test case","Myfirst test","SUCCESS","2019-11-19T13:43:55.27+05:30[Asia/Calcutta]","0.0","48.32"
